85500	7511117.992	4693832.963	0	85500
85499	7511123.853	4693834.863	0	85499
85517	7511141.778	4693807.571	0	85517
85498	7511144.119	4693838.872	0	85498
85516	7511145.919	4693803.158	0	85516
85515	7511156.545	4693891.194	0	85515
88353	7511161.029	4693783.957	0	88353
88356	7511161.818	4693784.656	0	88356
85463	7511162.109	4693834.97	0	85463
85462	7511168.581	4693833.135	0	85462
85497	7511170.858	4693810.895	0	85497
88354	7511172.047	4693766.179	0	88354
85488	7511173.688	4693814.791	0	85488
85490	7511173.901	4693825.322	0	85490
85489	7511174.179	4693819.724	0	85489
88355	7511176.924	4693756.395	0	88355
88360	7511181.03	4693748.158	0	88360
85496	7511186.754	4693788.926	0	85496
85493	7511202.687	4693806.158	0	85493
88359	7511204.389	4693755.272	0	88359
88357	7511211.056	4693753.051	0	88357
85492	7511211.309	4693797.147	0	85492
88358	7511218.788	4693735.998	0	88358
85481	7511220.14	4693736.581	0	85481
85482	7511222.257	4693738.038	0	85482
85491	7511233.408	4693774.915	0	85491
